Position;Title;Year;Genres
120;El laberinto del fauno;2006;Drama, Fantasy, War
121;Smultronst‰llet;1957;Drama, Romance
122;Up;2009;Animation, Adventure, Comedy, Family
123;Toy Story;1995;Animation, Adventure, Comedy, Family, Fantasy
124;The Maltese Falcon;1941;Crime, Film-Noir, Mystery, Romance
125;The Elephant Man;1980;Biography, Drama
126;Rebecca;1940;Drama, Mystery, Romance, Thriller
127;Heat;1995;Crime, Drama, Thriller
128;3 Idiots;2009;Comedy, Drama
129;Ran;1985;Action, Drama, War
130;Blade Runner;1982;Action, Sci-Fi, Thriller
131;Scarface;1983;Crime, Drama
132;The Avengers;2012;Action, Adventure, Sci-Fi
133;The Gold Rush;1925;Adventure, Comedy, Drama, Western
134;Touch of Evil;1958;Crime, Drama, Film-Noir, Thriller
135;Rang De Basanti;2006;Comedy, Crime, Drama
136;The Big Lebowski;1998;Comedy, Crime, Sport
137;Gran Torino;2008;Drama
138;It Happened One Night;1934;Comedy, Romance
139;Cool Hand Luke;1967;Crime, Drama
140;Fargo;1996;Crime, Drama, Thriller
141;Warrior;2011;Action, Drama, Sport
142;The Deer Hunter;1978;Drama, War
143;El secreto de sus ojos;2009;Drama, Mystery, Romance, Thriller
144;Tonari no Totoro;1988;Animation, Family, Fantasy
145;The Grapes of Wrath;1940;Drama, History
146;Lock, Stock and Two Smoking Barrels;1998;Action, Comedy, Crime
147;Strangers on a Train;1951;Crime, Film-Noir, Thriller
148;The Best Years of Our Lives;1946;Drama, Romance, War
149;High Noon;1952;Drama, Thriller, Western
150;Gone with the Wind;1939;Drama, History, Romance, War
151;Sin City;2005;Crime, Thriller
152;Casino;1995;Crime, Drama
153;V for Vendetta;2005;Action, Drama, Sci-Fi, Thriller
154;Good Will Hunting;1997;Drama, Romance
155;Butch Cassidy and the Sundance Kid;1969;Biography, Crime, Drama, Western
156;The Thing;1982;Horror, Mystery, Sci-Fi
157;No Country for Old Men;2007;Crime, Drama, Thriller
158;Trainspotting;1996;Drama
159;Hotel Rwanda;2004;Biography, Drama, History, War
160;The Wizard of Oz;1939;Adventure, Family, Fantasy, Musical
161;Notorious;1946;Drama, Film-Noir, Romance, Thriller
162;Platoon;1986;Drama, War
163;The Sixth Sense;1999;Drama, Mystery, Thriller
164;Star Trek Into Darkness;2013;Action, Adventure, Sci-Fi
165;Jaws;1975;Adventure, Thriller
166;The Night of the Hunter;1955;Crime, Drama, Film-Noir, Thriller
167;Into the Wild;2007;Adventure, Biography, Drama
168;Annie Hall;1977;Comedy, Romance
169;How to Train Your Dragon;2010;Animation, Action, Adventure, Family, Fantasy
170;Kill Bill: Vol. 1;2003;Action, Crime, Drama, Thriller
171;Dial M for Murder;1954;Crime, Thriller
172;The Big Sleep;1946;Crime, Film-Noir, Mystery, Thriller
173;Mary and Max;2009;Animation, Comedy, Drama, Family
174;Persona;1966;Drama, Thriller
175;Life of Brian;1979;Comedy
176;Network;1976;Drama
177;Les quatre cents coups;1959;Crime, Drama
178;Finding Nemo;2003;Animation, Adventure, Comedy, Family
179;Ben-Hur;1959;Adventure, Drama, History
180;Donnie Darko;2001;Drama, Mystery, Sci-Fi, Thriller
181;Hauru no ugoku shiro;2004;Animation, Adventure, Family, Fantasy
182;The King's Speech;2010;Biography, Drama, History
183;There Will Be Blood;2007;Drama
184;Stand by Me;1986;Adventure, Drama
185;The Killing;1956;Crime, Drama, Film-Noir, Thriller
186;The Princess Bride;1987;Adventure, Family, Fantasy, Romance
187;Million Dollar Baby;2004;Drama, Sport
188;La strada;1954;Drama
189;Who's Afraid of Virginia Woolf?;1966;Drama
190;Amores perros;2000;Drama, Thriller
191;8Ω;1963;Drama
192;The Terminator;1984;Action, Sci-Fi
193;The Hobbit: An Unexpected Journey;2012;Adventure, Fantasy
194;Fanny och Alexander;1982;Drama
195;Stalker;1979;Drama, Sci-Fi
196;Gandhi;1982;Biography, Drama, History
197;Groundhog Day;1993;Comedy, Fantasy, Romance
198;Dog Day Afternoon;1975;Biography, Crime, Drama, Thriller
199;The Bourne Ultimatum;2007;Action, Mystery, Thriller
200;Incendies;2010;Drama, Mystery, War
201;Twelve Monkeys;1995;Mystery, Sci-Fi, Thriller
202;The Hustler;1961;Drama, Sport
203;Anatomy of a Murder;1959;Crime, Drama, Mystery, Thriller
204;Salinui chueok;2003;Crime, Drama, Mystery, Thriller
205;Life of Pi;2012;Adventure, Drama, Fantasy
206;Stalag 17;1953;Comedy, Drama, War
207;A Beautiful Mind;2001;Biography, Drama
208;Hachi: A Dog's Tale;2009;Biography, Drama, Family
209;The Man Who Shot Liberty Valance;1962;Drama, Western
210;Black Swan;2010;Drama, Thriller
211;The Graduate;1967;Comedy, Drama, Romance
212;Sleuth;1972;Mystery, Thriller
213;Harry Potter and the Deathly Hallows: Part 2;2011;Adventure, Drama, Fantasy, Mystery
214;The Manchurian Candidate;1962;Drama, Thriller
215;Barry Lyndon;1975;Adventure, Drama, History, War
216;The Wild Bunch;1969;Action, Adventure, Western
217;Mou gaan dou;2002;Action, Crime, Drama, Mystery, Thriller
218;The Perks of Being a Wallflower;2012;Drama, Romance
